Numéro ,Nom de la borne,Addresse,Rue,Ville,Province,Code Postal,Latitude,Longitude,Volume
1,Quartier santé,2015,12e Avenue N,Sherbrooke,Québec,J1E 4J5,45.43426,-71.86913,8366.66667
2,Dépanneur Ultramar,1133,13e Avenue N,Sherbrooke,Québec,J1E 3P1,45.42373,-71.87296,11846.6667
4,Centre de formation professionnelle 24-juin,639,Rue du 24-Juin,Sherbrooke,Québec,J1E 1H1,45.42269,-71.87779,8113.33333
6,Rue du Baron,1668,Chemin des Pèlerins,Sherbrooke,Québec,J1E 1G8,45.42986,-71.88719,26620.0
33,Entrepôt Coop Alentour,4740,Boulevard Industriel,Sherbrooke,Québec,J1L 3A3,45.3955,-71.98237,18206.6667
7,IGA Extra Couture,2240,Rue King E,Sherbrooke,Québec,J1G 5G8,45.411914,-71.83975,30680.0
21,Église St-Esprit ,2290,Rue Galt O,Sherbrooke,Québec,J1K 1K8,45.387,-71.92853,54393.3333
23,Université de Sherbrooke,2500,Boul de l'Université,Sherbrooke,Québec,J1K 2R1,45.38151,-71.93032,1826.66667
34,Parc Mi-Vallon,1443,Rue Milan,Sherbrooke,Québec,J1N 1V8,45.379532,-71.98372,53593.3333
36,Bibliothèque Bertrand Delisle,968,Rue du Haut-Bois S,Sherbrooke,Québec,J1N 4C9,45.36947,-71.98917,25840.0
49,Salon fun. des cantons,951,Du Rue du Haut-Bois S,Sherbrooke,Québec,J1N 2C8,45.36979393948084,-71.98849786137306,60226.6667
18,École Montcalm/Centre communautaire Jacques Cartier,2050,Boul de Portland,Sherbrooke,Québec,J1J 1T9,45.40369,-71.92404,26566.6667
19,Les Promenades King,2213,Rue King O,Sherbrooke,Québec,J1J 2G2,45.398337,-71.927644,28740.0
25,Église Marie-Médiatrice,3025,Rue Galt O,Sherbrooke,Québec,J1K 1M8,45.386965,-71.94746,18386.6667
26,Tim Hortons,3550,Rue Galt O,Sherbrooke,Québec,J1H 0A5,45.37658,-71.95339,21780.0
28,Iga Extra ,3950,Rue King O,Sherbrooke,Québec,J1L 1P6,45.387214,-71.960579,7876.66667
41,Tim Hortons,5963,Chem. de Sainte-Élie,Sherbrooke,Québec,J1R 0L6,45.395,-72.00484,13346.6667
42,Iga Bouchard ,6185,QC-220,Sherbrooke,Québec,J1R 0L1,45.39235,-72.01376,152726.667
9,Salon de quiles Sher-Mont,1254,Rue King E,Sherbrooke,Québec,J1G 1E6,45.40849,-71.86219,20940.0
10,Parc Édouard-Boudreau,44,10e Avenue N,Sherbrooke,Québec,J1G 2R5,45.406388,-71.87277,43600.0
11,Crémarie de l'Est ,480,10e Avenue S,Sherbrooke,Québec,J1G 2R9,45.40048,-71.87247,23540.0
43,Église Saint-Élie,7205,Chem. de Sainte-Élie,Sherbrooke,Québec,J1R 0K5,45.39567,-72.03986,48680.0
