Numéro ,Nom de la borne,Addresse,Rue,Ville,Province,Code Postal,Latitude,Longitude
1,Supermarché Maxi,150,Grandes Fourches Sud,Sherbrooke,Qc,J1H 5G5,45.400181,-71.886211
2,Supermarché Provigo (Alimentation Daniel Larouche),1100,13e Avenue Nord,Sherbrooke,Qc,J1E 3P1,45.422652,-71.871205
3,Super C Fleurimont,1775,King Est,Sherbrooke,Qc,J1G 5G7,45.410797,-71.849357
4,Dépanneur Couche-Tard,705,Boulevard Jacques-Cartier,Sherbrooke,Qc,J1J 4C8,45.409213,-71.919145
5,Dépanneur Couche-Tard Pétro-Canada,700,Galt Ouest,Sherbrooke,Qc,J1H 2Z2,45.393985,-71.896842
6,Dépanneur Couche-Tard,2525,King Ouest,Sherbrooke,Qc,J1J 2G9,45.398567,-71.934709
7,Dépanneur Couche-Tard,2558,Galt Ouest,Sherbrooke,Qc,J1K 1L6,45.386679,-71.936865
8,Dépanneur Couche-Tard,1575,12e Avenue Nord,Sherbrooke,Qc,J1H 5H2,45.428580,-71.869036
9,Supermarché Maxie & Cie,3025,Portland,Sherbrooke,Qc,J1L 2Y7,45.404601,-71.950610
10,Dépanneur Couche-Tard,3935,King Ouest,Sherbrooke,Qc,J1L 1W7,45.388427,-71.960528
11,Dépanneur Couche-Tard,1838,Galt Est,Sherbrooke,Qc,J1G 3H8,45.405917,-71.851914
12,Estrie-Aide,345,Wellington Sud,Sherbrooke,Qc,J1H 5E2,45.396330,-71.886951
13,Supermarché Provigo Lennoxville,169,Queen,Sherbrooke,Qc,J1M 1K1,45.368996,-71.857840
14,ASDI,2065,Belvédère S,Sherbrooke,Qc,J1H 5R8,45.373241,-71.894034
15,Défi Polyteck,1255,Queen-Victoria,Sherbrooke,Qc,J1J 3T6,45.418583,-71.907549
