id,no_civique,rue,no_local,code_postal,etage,entreprise,telephone,enfant,type_etablissement,usage_1,usage_2,usage_3,type_scian,secteur_nom,classe_nom,neq,secteur_commercial,grandes_chaines,date_creation,date_modification,lng,lat
639772dc-3588-4fa8-92a0-85590ee22bf5,1647,Rue des Étriers,NA,J1N 1C3,1,GARDERIE LES MINIS CITOYENS,819 340-1908,FALSE,Commerce,Services professionnels,Centre de la petite enfance (CPE) et garderie,Services de garderie,624410,Soins de santé et assistance sociale,Services de garderie,1176103209,Rock Forest - Deauville,FALSE,2024-02-22,2024-08-02,-71.99696662589358,45.378675611697105
b7b58c67-d027-4a34-afc0-0bfd69ac9c7a,436,Chemin Godin,NA,J1R 0S6,1,ENTREPÔTS CIBLE MINI ENTREPOSAGE,819 864-6030,TRUE,Commerce,Services aux consommateurs,Location,Mini-entrepôts libre-service,531130,Services immobiliers et services de location et de location à bail,Mini-entrepôts libre-service,1173299299,Rock Forest - Deauville,FALSE,2020-10-30,2024-08-02,-72.0042029,45.385238699999995
a326b4a2-0b3a-4c40-a32f-ff277b50a478,4160,Rue Brodeur,NA,J1L 1V9,1,DHP,819 578-4283,FALSE,Commerce de gros/para-industriel,Fabrication,Pièces et outillage,Fabrication de tous les autres produits métalliques divers,332999,Fabrication,Fabrication de tous les autres produits métalliques divers,1177702546,Rock Forest - Deauville,FALSE,2023-06-27,2024-08-02,-71.96709729999998,45.39103050000001
50f75464-e3bc-497d-9a75-9a7dc14c4cc7,4160,Rue Brodeur,300,J1L 1V9,1,CIRCUS CONCEPT INC.,819 200-0220,FALSE,Industriel,Fabrication,Autre fabrication,Fabrication d'articles de sport et d'athlétisme,339920,Fabrication,Fabrication d'articles de sport et d'athlétisme,NA,Rock Forest - Deauville,FALSE,2020-09-14,2024-08-02,-71.96709729999999,45.39103050000001
85ad19a5-c4fd-46bf-b3ff-1242171832d2,9205,Boulevard Bourque,NA,J1N 0G2,"1,2",COMCO CONSTRUCTION,819 820-2220,FALSE,Bureau,Construction,Construction,Construction résidentielle,236110,Construction,Construction résidentielle,1175919712,Rock Forest - Deauville,FALSE,2024-06-11,2024-07-29,-72.07516637562212,45.31680407531341
7b21ae3f-ce9a-407d-83c0-aecca2261df2,4372,Boulevard Bourque,101,J1N 1S3,1,L'OEUFRIER,819 569-9656,FALSE,Commerce,"Restauration, divertissement et hôtellerie",Restauration,Restaurants à service complet,722511,Services d'hébergement et de restauration,Restaurants à service complet,1179516902,Rock Forest - Deauville,FALSE,2024-06-06,2024-06-26,-71.9732595405379,45.378934674627295
c7b5b971-e4de-410d-b75a-e0d5785dbbce,4372,Boulevard Bourque,102,J1N 1S3,1,VACANT,NA,FALSE,Commerce,VACANT,VACANT,VACANT,999998,Vacant,VACANT,NA,Rock Forest - Deauville,FALSE,2024-06-06,2024-06-26,-71.97338460326336,45.3788539738877
fca3954f-34a4-4505-add7-73e2a32bef74,4372,Boulevard Bourque,103,J1N 1S3,1,BOULEVARD BOUFFE,NA,FALSE,Commerce,"Restauration, divertissement et hôtellerie",Restauration,Restaurants à service complet,722511,Services d'hébergement et de restauration,Restaurants à service complet,1179738811,Rock Forest - Deauville,FALSE,2024-06-06,2024-06-26,-71.97351608976602,45.37878982315236
8e088a91-d84b-4ace-9602-9ffad6407134,4372,Boulevard Bourque,104,J1N 1S3,1,BIÈRES ET FRITES,NA,FALSE,Commerce,"Restauration, divertissement et hôtellerie",Restauration,"Restaurants rapides, Cantines",722512,Services d'hébergement et de restauration,Établissements de restauration à service restreint,NA,Rock Forest - Deauville,FALSE,2024-06-06,2024-06-26,-71.97365209720101,45.378706051977765
82931a08-b2eb-4082-9a80-53ec1c62da8f,4160,Rue Brodeur,200,J1L 1V9,1,RÉSERVOIRS DES CANTONS,819 822-2381,FALSE,Commerce de gros/para-industriel,Fabrication,Pièces et outillage,Fabrication de tous les autres produits métalliques divers,332999,Fabrication,Fabrication de tous les autres produits métalliques divers,1175604397,Rock Forest - Deauville,FALSE,2020-09-14,2024-08-02,-71.96709729999999,45.39103050000001
