,id,no_civique,rue,no_local,code_postal,etage,entreprise,telephone,enfant,type_etablissement,usage_1,usage_2,usage_3,type_scian,secteur_nom,classe_nom,neq,secteur_commercial,grandes_chaines,date_creation,date_modification,Longitude,Latitude
0,639772dc-3588-4fa8-92a0-85590ee22bf5,1647,Rue des Étriers,,J1N 1C3,1,GARDERIE LES MINIS CITOYENS,819 340-1908,False,Commerce,Services professionnels,Centre de la petite enfance (CPE) et garderie,Services de garderie,624410.0,Soins de santé et assistance sociale,Services de garderie,1176103209.0,Rock Forest - Deauville,False,2024-02-22,2024-08-02,-71.99696662589358,45.37867561169711
1,a326b4a2-0b3a-4c40-a32f-ff277b50a478,4160,Rue Brodeur,,J1L 1V9,1,DHP,819 578-4283,False,Commerce de gros/para-industriel,Fabrication,Pièces et outillage,Fabrication de tous les autres produits métalliques divers,332999.0,Fabrication,Fabrication de tous les autres produits métalliques divers,1177702546.0,Rock Forest - Deauville,False,2023-06-27,2024-08-02,-71.96709729999998,45.39103050000001
2,7b21ae3f-ce9a-407d-83c0-aecca2261df2,4372,Boulevard Bourque,101,J1N 1S3,1,L'OEUFRIER,819 569-9656,False,Commerce,"Restauration, divertissement et hôtellerie",Restauration,Restaurants à service complet,722511.0,Services d'hébergement et de restauration,Restaurants à service complet,1179516902.0,Rock Forest - Deauville,False,2024-06-06,2024-06-26,-71.9732595405379,45.378934674627295
7,b4060b5c-6efc-43e2-aa87-73887ce4f8ff,5335,Boulevard Bourque,,J1N 1G8,1,TESLA,,False,Commerce,Biens réfléchis,Vente de véhicule,Concessionnaires d'automobiles neuves,441110.0,Commerce de détail,Concessionnaires d'automobiles neuves,,Rock Forest - Deauville,False,2024-06-11,2024-09-20,-71.99900711810477,45.36582631775357
8,cb367d12-d6c3-48bc-b7c9-90b47d0b4215,4204,Rue Bertrand-Fabi,,J1N 3Y2,1,CINEMA GALAXY SHERBROOKE,819 821-4481,False,Commerce,"Restauration, divertissement et hôtellerie",Diffusion culturelle,Présentation de films et de vidéos,512130.0,Industrie de l'information et industrie culturelle,Présentation de films et de vidéos,1171619787.0,Rock Forest - Deauville,True,2020-04-16,2024-06-25,-71.96191879472435,45.38347242823124
9,13ea58fc-6dc9-4586-a643-acdf292eb5a7,5954,Boulevard Bourque,,J1N 1H3,"1,2",LES AUTOMOBILES LACO 2006 INC.,819 864-6994,False,Commerce,Biens réfléchis,Vente de véhicule,Concessionnaires d'automobiles d'occasion,441120.0,Commerce de détail,Concessionnaires d'automobiles d'occasion,1163334791.0,Rock Forest - Deauville,False,2020-04-16,2024-06-20,-72.0137732,45.3565212
12,c1dab8df-e8ec-45d9-b57c-8ff8d74a6548,121,Chemin Godin,,J1R 0S6,1,AUTO REDRESSEMENT MICHEL MERCIER INC.,819 564-0997,False,Commerce de gros/para-industriel,Services aux consommateurs,Entretien automobile,"Réparation et entretien de la carrosserie, de la peinture et de l'intérieur de véhicules automobiles",811121.0,Autres services (sauf les administrations publiques),"Réparation et entretien de la carrosserie, de la peinture et de l'intérieur de véhicules automobiles",1146921649.0,Rock Forest - Deauville,False,2020-10-30,2024-08-02,-71.9989638,45.3933533
13,6263ed8a-aed6-49f8-a37f-61cba22f55dc,6618,Boulevard Bourque,,J1N 1H3,1,MAÇONNERIE TLT,819 342-1236,False,Commerce de gros/para-industriel,Construction,Construction,Entrepreneurs en travaux de maçonnerie,238140.0,Construction,Entrepreneurs en travaux de maçonnerie,1176137280.0,Rock Forest - Deauville,False,2022-08-10,2024-06-11,-72.0244579,45.3509828
15,5d744ce2-4140-4deb-81ca-5fa0a1d04abb,10240,Boulevard Bourque,,J1N 0G2,19,PUITS BERNIER (SIÈGE SOCIAL),819 346-7464,False,Commerce de gros/para-industriel,Construction,Construction,Construction d'aqueducs et d'égouts et structures connexes,237110.0,Construction,Construction d'aqueducs et d'égouts et structures connexes,1143211507.0,Rock Forest - Deauville,False,2020-09-21,2024-06-19,-72.0913937,45.30280930000001
16,afd2e862-d5f6-41f7-907d-df81b996c3ca,10201,Chemin Alexis-Contant,,J1N 3G1,1,ATELIER FOX MARINE,819 868-7001,False,Commerce,Services aux consommateurs,Réparation,Autres services de réparation et d'entretien d'articles personnels et ménagers,811490.0,Autres services (sauf les administrations publiques),Autres services de réparation et d'entretien d'articles personnels et ménagers,1171294359.0,Rock Forest - Deauville,False,2020-09-21,2024-06-19,-72.08849909999999,45.30324280000001
17,3d15e940-d0e1-4382-aa84-d14ae3345e2a,4324,Rue Bertrand-Fabi,,J1N 1Y7,1,PRÉFÉRENCE ANIMALE,819 481-1519,False,Commerce,Biens courants,Fournitures pour animaux,Animaleries et magasins de fournitures pour animaux,459910.0,Commerce de détail,Animaleries et détaillants de fournitures pour animaux,1176299189.0,Rock Forest - Deauville,False,2020-08-13,2024-06-25,-71.9635605,45.3800732
