Longitude,Latitude,Nom de la borne,Addresse,Rue
-71.87296,45.42373,Dépanneur Ultramar,1133,13e Avenue N
-71.88719,45.42986,Rue du Baron,1668,Chemin des Pèlerins
-71.958871,45.40514,Momo Sports ,530,Rue Jean-Paul-Perrault
-71.98237,45.3955,Entrepôt Coop Alentour,4740,Boulevard Industriel
-71.83975,45.411914,IGA Extra Couture,2240,Rue King E
-71.906743,45.388925,Aréna Ivan-Dugré,1250,Rue Galt O
-71.92853,45.387,Église St-Esprit ,2290,Rue Galt O
-71.932925,45.3714,Aréna du Mont St-Anne,2100,Chem. de Sainte-Catherine
-71.968,45.40102,Écocentre - Rose-Cohen,365,Rue Pépin
-71.948226,45.470253,EKO / Dépanneur Brompton,245,Rue Laval
-71.893761,45.362799,Tim Hortons,3815,College St
-71.98372,45.379532,Parc Mi-Vallon,1443,Rue Milan
-71.98778,45.35478,Dépanneur Gamma,699,Rue du Curé
-71.99417,45.354676,Parc Central,6161,Rue du Président Kennedy 
-71.96842,45.36906,Les Entreprises Lachance Inc,663,Rue de Charlemagne 
-72.04209,45.34191,Shell,7390,Boul Bourque
-71.979329,45.33307,Boucherie Face de Boeuf,4250,Chem. Saint-Roch S
-71.98849786137306,45.36979393948084,Salon fun. des cantons,951,Du Rue du Haut-Bois S
-71.93049,45.39673,Récupex Ing,2345,Rue Hertel
-71.95339,45.37658,Tim Hortons,3550,Rue Galt O
-71.952431,45.391458,Complexe de la santé,15,Rue J.-A. - Bombardier
-72.01376,45.39235,Iga Bouchard ,6185,QC-220
-71.87277,45.406388,Parc Édouard-Boudreau,44,10e Avenue N
-71.86877,45.39284,Parc Bureau ,925,Rue Walsh
-71.86057,45.37371,Église St Andrew's,256,Rue Queen
-72.03986,45.39567,Église Saint-Élie,7205,Chem. de Sainte-Élie
-72.07118249999999,45.3192362,ENTREPOSAGE LAMONTAGNE,9101,Boulevard Bourque
-72.0926276,45.3015067,PIEUX VISTECH ESTRIE INC.,10260,Boulevard Bourque
-72.01807029999999,45.3141229,CENTRE JEUNESSE DE L'ESTRIE (VAL-DU-LAC),8475,Chemin Blanchette
-72.00434430000001,45.4228407,GARAGE S. COUTURE,1225,Chemin Dion
-71.96364160000002,45.4617043,CONSTRUCTIONS FRANCIS VACHON,546,Rue du Parc-Industriel
-71.9525802,45.4854956,LES ENCHÈRES A/B,333,Route de Windsor
-71.9615618,45.4223981,COSTCO,3800,Boulevard de Monseigneur-Fortier
-71.966624,45.418183000000006,MEUBLES BRICK,1150,Boulevard du Plateau-Saint-Joseph
-71.93762079999999,45.4488059,MULTI CONCEPT AG,2571,Chemin des Écossais
-71.9166195,45.4338905,INVESTISSEMENT RENÉ ST-PIERRE LTEE,2365,Boulevard Queen-Victoria
-71.92303749999999,45.4918539,MARCO BROCHU ENR.,576,Chemin de Notre-Dame-des-Mères
-72.0042761,45.36366580000001,MAISON SUPLEX,5611,Boulevard Bourque
-72.02897039999999,45.3493794,ENSEIGNES SHERBROOKE INC.,6805,Boulevard Bourque
-72.05418,45.3659132,DBO EXPERT,1686,Chemin Laliberté
-71.95351029999999,45.3493275,CARROSSIER VINCENT MARCEAU,3569,Rue Felton
-72.1040332,45.3725597,ST-ÉLIE MOTORSPORTS,9327,Chemin de Saint-Élie
-72.0557707,45.3919952,GAZONEIGE,7702,Chemin de Saint-Élie
-71.82854202564687,45.42177557506841,VACANT,2865,Rue Carignan
-71.86958286094969,45.44761231306305,SODEXO,3001,12e Avenue Nord
-71.9007367,45.5078946,MECAN EXPERT,528,Chemin du 4e Rang
-71.81405379222844,45.36486154821841,CENTRE DE FORMATION PROFESSIONNELLE LENNOXVILLE,1700,Rue College
-71.8763526,45.364792,RÉSEAU DU PATRIMOINE ANGLOPHONE DU QUÉBEC,3355,Rue College
-71.851885,45.35201039999999,GARAGE J.B. LAROCHE,103,Rue Winder
-71.8461204,45.3423472,ÉCOLE PRIMAIRE LA SOURCE,1399,Rue Campbell
-71.8460109,45.3820737,VACANT,100,Rue du Cardinal-Lavigerie
-71.82518809999999,45.32600929999999,CLUB DE GOLF MILBY INC.,2200,Chemin Bowers
-71.8959558,45.4114166,DÉPANNEUR BONI-SOIR,765,Rue Goretti
