Longitude,Latitude,Nom de la borne,Addresse,Rue
-71.86913,45.43426,Quartier santé,2015,12e Avenue N
-71.87779,45.42269,Centre de formation professionnelle 24-juin,639,Rue du 24-Juin
-71.83975,45.411914,IGA Extra Couture,2240,Rue King E
-71.87277,45.406388,Parc Édouard-Boudreau,44,10e Avenue N
-71.86877,45.39284,Parc Bureau ,925,Rue Walsh
-71.86057,45.37371,Église St Andrew's,256,Rue Queen
-71.906743,45.388925,Aréna Ivan-Dugré,1250,Rue Galt O
-71.91588,45.41116,Centre de la Petite Enfance Carrosse-Citrouille Inc,1680,Rue Garant
-71.927644,45.398337,Les Promenades King,2213,Rue King O
-71.93049,45.39673,Récupex Ing,2345,Rue Hertel
-71.92853,45.387,Église St-Esprit ,2290,Rue Galt O
-71.932925,45.3714,Aréna du Mont St-Anne,2100,Chem. de Sainte-Catherine
-71.95339,45.37658,Tim Hortons,3550,Rue Galt O
-71.952431,45.391458,Complexe de la santé,15,Rue J.-A. - Bombardier
-71.958871,45.40514,Momo Sports ,530,Rue Jean-Paul-Perrault
-71.968,45.40102,Écocentre - Rose-Cohen,365,Rue Pépin
-71.98237,45.3955,Entrepôt Coop Alentour,4740,Boulevard Industriel
-71.98372,45.379532,Parc Mi-Vallon,1443,Rue Milan
-71.99418,45.36994,École Vision-Sherbrooke,5100,Rue Henri-Labonne
-71.98778,45.35478,Dépanneur Gamma,699,Rue du Curé
-71.99417,45.354676,Parc Central,6161,Rue du Président Kennedy 
-71.96842,45.36906,Les Entreprises Lachance Inc,663,Rue de Charlemagne 
-72.01376,45.39235,Iga Bouchard ,6185,QC-220
-72.04597,45.39483,Matériaux St-Élie,17,Rue Saint-Michel-Archange
-72.04209,45.34191,Shell,7390,Boul Bourque
-71.979329,45.33307,Boucherie Face de Boeuf,4250,Chem. Saint-Roch S
-71.948226,45.470253,EKO / Dépanneur Brompton,245,Rue Laval
-71.893761,45.362799,Tim Hortons,3815,College St
-72.0137732,45.3565212,LES AUTOMOBILES LACO 2006 INC.,5954,Boulevard Bourque
-72.0530405,45.3325266,ÉCHANGEUR D’AIR.COM,8201,Boulevard Bourque
-72.0408583,45.3622038,FABRICATION ESSEN INC.,2690,Chemin Saint-Roch Nord
-72.0799763,45.31348920000001,TERRAQUAVIE,9441,Boulevard Bourque
-71.96812428740105,45.35537400155848,SPA ALGUA SULIS,4606,Boulevard de l'Université
-72.01807029999999,45.3141229,CENTRE JEUNESSE DE L'ESTRIE (VAL-DU-LAC),8475,Chemin Blanchette
-71.99047829999999,45.3125665,PIÈCES D'AUTOS USAGÉES SHERBROOKE,6031,Chemin Beaudette
-71.9376564,45.3503902,CENTRE CANIN DE L'ESTRIE,3415,Rue Dunant
-71.9636277,45.4595029,PAVAGE LAVALLÉE ET TANGUAY INC.,556,Rue du Parc-Industriel
-71.9525802,45.4854956,LES ENCHÈRES A/B,333,Route de Windsor
-71.933329,45.4675662,VACANT,370,Rue Saint-Lambert
-71.92303749999999,45.4918539,MARCO BROCHU ENR.,576,Chemin de Notre-Dame-des-Mères
-71.9056994,45.51045,LES LOISIRS DE NOTRE-DAME-DES-MÈRES INC.,731,Chemin de Notre-Dame-des-Mères
-71.8763526,45.364792,RÉSEAU DU PATRIMOINE ANGLOPHONE DU QUÉBEC,3355,Rue College
-71.851885,45.35201039999999,GARAGE J.B. LAROCHE,103,Rue Winder
-71.82518809999999,45.32600929999999,CLUB DE GOLF MILBY INC.,2200,Chemin Bowers
-71.8460109,45.3820737,VACANT,100,Rue du Cardinal-Lavigerie
-71.81405379222844,45.36486154821841,CENTRE DE FORMATION PROFESSIONNELLE LENNOXVILLE,1700,Rue College
-72.1040332,45.3725597,ST-ÉLIE MOTORSPORTS,9327,Chemin de Saint-Élie
-72.003,45.4010604,DFJ MOULES INC.,264,Chemin Dion
-72.078496,45.3832364,ÉLÉGANCE COIFFURE HOMME ET FEMME,8540,Chemin de Saint-Élie
-72.03223659999999,45.3942075,PRO-SHINE ESTHÉTIQUE AUTOMOBILE,7001,Chemin de Saint-Élie
-71.9245794,45.4409131,TRANSPORT ET CAMIONNAGE HARRY INC.,3065,Boulevard Queen-Victoria
-71.8978607,45.4076103,SERVICE D'AIDE AUX NÉO-CANADIENS,530,Rue Prospect
-71.9722609,45.42590920000001,GOUVERNEMENT DU QUÉBEC,125,Chemin Georges-Vallières
-71.8287263,45.420324,TOITURE HULK,3173,Rue King Est
-71.86072779999999,45.44935759999999,CHSLD VIGI SHERMONT (CENTRE D'HÉBERGEMENT DE SOINS DE LONGUE DURÉE),3220,12e Avenue Nord
-71.8976519,45.4548721,SANCTUAIRE DU SACRÉ-CŒUR-DE-BEAUVOIR,675,Côte de Beauvoir
