Longitude,Latitude,Nom de la borne,Addresse,Rue
-71.87296,45.42373,Dépanneur Ultramar,1133,13e Avenue N
-71.88719,45.42986,Rue du Baron,1668,Chemin des Pèlerins
-71.958871,45.40514,Momo Sports ,530,Rue Jean-Paul-Perrault
-71.98237,45.3955,Entrepôt Coop Alentour,4740,Boulevard Industriel
-71.83975,45.411914,IGA Extra Couture,2240,Rue King E
-71.906743,45.388925,Aréna Ivan-Dugré,1250,Rue Galt O
-71.92853,45.387,Église St-Esprit ,2290,Rue Galt O
-71.932925,45.3714,Aréna du Mont St-Anne,2100,Chem. de Sainte-Catherine
-71.968,45.40102,Écocentre - Rose-Cohen,365,Rue Pépin
-71.948226,45.470253,EKO / Dépanneur Brompton,245,Rue Laval
-71.893761,45.362799,Tim Hortons,3815,College St
-71.98372,45.379532,Parc Mi-Vallon,1443,Rue Milan
-71.98778,45.35478,Dépanneur Gamma,699,Rue du Curé
-71.99417,45.354676,Parc Central,6161,Rue du Président Kennedy 
-71.96842,45.36906,Les Entreprises Lachance Inc,663,Rue de Charlemagne 
-72.04209,45.34191,Shell,7390,Boul Bourque
-71.979329,45.33307,Boucherie Face de Boeuf,4250,Chem. Saint-Roch S
-71.98849786137306,45.36979393948084,Salon fun. des cantons,951,Du Rue du Haut-Bois S
-71.93049,45.39673,Récupex Ing,2345,Rue Hertel
-71.95339,45.37658,Tim Hortons,3550,Rue Galt O
-71.952431,45.391458,Complexe de la santé,15,Rue J.-A. - Bombardier
-72.01376,45.39235,Iga Bouchard ,6185,QC-220
-71.87277,45.406388,Parc Édouard-Boudreau,44,10e Avenue N
-71.86877,45.39284,Parc Bureau ,925,Rue Walsh
-71.86057,45.37371,Église St Andrew's,256,Rue Queen
-72.03986,45.39567,Église Saint-Élie,7205,Chem. de Sainte-Élie
-72.087657,45.3057393,JARDIN FLEURI M.R.  INC.,9980,Boulevard Bourque
-72.0031865,45.4097984,LES GRUES GR,668,Chemin Dion
-71.98927859999999,45.4281881,RÉFRIGÉRATION GAGNÉ,381,Chemin Georges-Vallières
-71.9525802,45.4854956,LES ENCHÈRES A/B,333,Route de Windsor
-71.9635578,45.4612207,MATÉRIAUX DE CONSTRUCTION LÉTOURNEAU,550,Rue du Parc-Industriel
-71.9639694,45.4183583,PHARMACIE ACCÈS PHARMA,4050,Boulevard Josaphat-Rancourt
-71.933329,45.4675662,VACANT,370,Rue Saint-Lambert
-71.9204421,45.4385084,AIM RECYCLAGE SHERBROOKE,2735,Boulevard Queen-Victoria
-71.92303749999999,45.4918539,MARCO BROCHU ENR.,576,Chemin de Notre-Dame-des-Mères
-71.8976519,45.4548721,SANCTUAIRE DU SACRÉ-CŒUR-DE-BEAUVOIR,675,Côte de Beauvoir
-72.02897039999999,45.3493794,ENSEIGNES SHERBROOKE INC.,6805,Boulevard Bourque
-72.0042761,45.36366580000001,MAISON SUPLEX,5611,Boulevard Bourque
-72.05418,45.3659132,DBO EXPERT,1686,Chemin Laliberté
-71.99047829999999,45.3125665,PIÈCES D'AUTOS USAGÉES SHERBROOKE,6031,Chemin Beaudette
-72.05977640820268,45.324333594806106,QUAI LAFANTAISIE DOCK,8556,Boulevard Bourque
-72.0213331,45.3250396,CAMPING LAC MAGOG ENR.,7255,Chemin Blanchette
-71.9478055,45.3527436,MARCHÉ EXPRESS,3200,Chemin de Sainte-Catherine
-71.96812428740105,45.35537400155848,SPA ALGUA SULIS,4606,Boulevard de l'Université
-72.1040332,45.3725597,ST-ÉLIE MOTORSPORTS,9327,Chemin de Saint-Élie
-72.0557707,45.3919952,GAZONEIGE,7702,Chemin de Saint-Élie
-71.84876299999999,45.4290041,BERTHOL CROTEAU EXCAVATION,1580,Chemin Duplessis
-71.8253697,45.4252215,GROUPE DESROCHERS MONTPETIT,3536,Rue King Est
-71.82827089999999,45.4217611,MINI ENTREPÔTS CIBLE FLEURIMONT INC.,3275,Rue King Est
-71.8273591,45.4210691,B. M. PRO-TECH,3200,Rue King Est
-71.8593073,45.45205879999999,ENVIRONNEMENT ROUTIER NRJ INC.,3420,12e Avenue Nord
-71.9056994,45.51045,LES LOISIRS DE NOTRE-DAME-DES-MÈRES INC.,731,Chemin de Notre-Dame-des-Mères
-71.81405379222844,45.36486154821841,CENTRE DE FORMATION PROFESSIONNELLE LENNOXVILLE,1700,Rue College
-71.8763526,45.364792,RÉSEAU DU PATRIMOINE ANGLOPHONE DU QUÉBEC,3355,Rue College
-71.8461204,45.3423472,ÉCOLE PRIMAIRE LA SOURCE,1399,Rue Campbell
-71.8419875,45.3713434,BISHOP'S COLLEGE SCHOOL,80,Chemin Moulton Hill
-71.8460109,45.3820737,VACANT,100,Rue du Cardinal-Lavigerie
-71.82518809999999,45.32600929999999,CLUB DE GOLF MILBY INC.,2200,Chemin Bowers
-71.8282317,45.40241650000001,ÉCOLE PRIMAIRE DE LA SAMARE,3000,Rue du Chalumeau
